underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,vega,theta,rho,gamma,delta
9309.08,SYN.BTC-15NOV19,1572951540020,open,0.22,0.0,0.1855,0.24,0.21156872,72.21,None,0.0,BTC-15NOV19-11250-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,1.88049,-6.87478,-2.89448,0.00011,-0.93761
9309.08,SYN.BTC-15NOV19,1572951540020,open,0.0,14.1,0.0005,0.013,0.00307149,72.21,0.004,0.0,BTC-15NOV19-11250-C,9279.66,66.28,0.002,40.6,0.004,21.0,76.49,1.88074,-6.87603,0.14942,0.00011,0.0624
9350.78,SYN.BTC-29NOV19,1572951540074,open,0.03,250.9,0.0095,0.046,0.02600752,65.91,0.031,0.0,BTC-29NOV19-10500-C,9279.66,64.12,0.0245,35.4,0.0275,33.2,67.65,7.95307,-10.97709,1.51155,0.00021,0.27313
9288.23,SYN.BTC-8NOV19,1572951540074,open,0.04,138.0,0.0175,0.0615,0.03967328,58.92,0.048,0.0,BTC-8NOV19-9000-C,9279.66,58.32,0.0395,0.8,0.042,1.1,66.76,2.69881,-27.64638,0.50905,0.00067,0.7353
9599.66,BTC-27MAR20,1572951540078,open,1.74,0.0,1.6595,1.7945,1.72303526,90.89,None,0.0,BTC-27MAR20-26000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,8.16054,-2.59578,-99.65197,2e-05,-0.92891
9434.16,BTC-27DEC19,1572951540091,open,0.01,519.0,0.001,0.023,0.01058104,75.69,0.011,0.0,BTC-27DEC19-6500-P,9279.66,73.59,0.0095,44.1,0.0115,43.0,77.4,4.97161,-3.62686,-1.13105,5e-05,-0.07377
9288.23,SYN.BTC-8NOV19,1572951540091,open,0.16,42.1,0.149,0.1845,0.16610246,96.65,0.18,0.0,BTC-8NOV19-7750-C,9279.66,0.0,0.154,5.0,0.1805,5.0,209.77,0.32377,-5.44101,0.59878,5e-05,0.98435
9350.78,SYN.BTC-29NOV19,1572951540091,open,0.36,22.5,0.346,0.376,0.36042243,91.48,0.2095,0.0,BTC-29NOV19-6000-C,9279.66,0.0,0.3495,8.0,0.3735,8.0,141.27,1.25704,-2.40822,3.77725,2e-05,0.97796
9288.23,SYN.BTC-8NOV19,1572951540093,open,0.01,788.4,0.0005,0.0255,0.00864179,58.92,0.0075,0.0,BTC-8NOV19-9000-P,9279.66,58.43,0.0085,1.0,0.0095,1.4,61.84,2.6988,-27.646,-0.20002,0.00067,-0.26469
9599.66,BTC-27MAR20,1572951540123,open,0.01,47.7,0.003,0.032,0.01283664,93.55,0.0115,0.0,BTC-27MAR20-28000-C,9279.66,91.05,0.011,21.0,0.0145,31.0,95.65,7.36251,-2.41043,1.85643,2e-05,0.06224
9288.23,SYN.BTC-8NOV19,1572951540123,open,0.0,369.8,0.0005,0.0105,0.00049201,96.65,0.0005,0.0,BTC-8NOV19-7750-P,9279.66,0.0,0.0,0.0,0.001,21.5,108.08,0.3237,-4.56994,-0.01181,5e-05,-0.01564
9683.45,SYN.BTC-26JUN20,1572951540123,open,0.31,12.2,0.2645,0.353,0.31121899,74.39,0.315,0.0,BTC-26JUN20-8000-C,9279.66,73.55,0.309,10.8,0.319,9.0,77.34,25.54064,-4.06207,26.09962,6e-05,0.73186
9288.23,SYN.BTC-8NOV19,1572951540123,open,0.11,116.1,0.094,0.133,0.11312205,80.31,0.1265,0.0,BTC-8NOV19-8250-C,9279.66,0.0,0.101,5.0,0.1275,1.0,162.6,0.77727,-10.85294,0.61629,0.00014,0.9553
9434.16,BTC-27DEC19,1572951540125,open,0.31,73.4,0.2655,0.3455,0.30511507,73.57,0.31,0.0,BTC-27DEC19-12000-P,9279.66,54.83,0.286,6.1,0.337,6.0,98.75,10.88007,-7.71472,-14.37416,0.00012,-0.76692
9599.66,BTC-27MAR20,1572951540125,open,2.15,0.0,2.0665,2.214,2.13596758,95.18,None,0.0,BTC-27MAR20-30000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,6.49595,-2.16375,-115.84546,2e-05,-0.94692
9683.45,SYN.BTC-26JUN20,1572951540125,open,0.26,34.5,0.2125,0.308,0.26278442,74.39,0.271,0.0,BTC-26JUN20-9000-C,9279.66,73.95,0.2615,11.1,0.272,21.1,77.55,28.30487,-4.5017,24.83212,6e-05,0.663
9350.78,SYN.BTC-29NOV19,1572951540125,open,0.0,446.2,0.0005,0.0105,0.00043727,100.0,0.001,0.0,BTC-29NOV19-5000-P,9279.66,101.62,0.0005,66.3,0.0015,18.0,117.79,0.34603,-0.72465,-0.03328,1e-05,-0.005
9350.78,SYN.BTC-29NOV19,1572951540127,open,0.12,805.8,0.092,0.144,0.11806653,64.08,0.118,0.0,BTC-29NOV19-8500-C,9279.66,62.15,0.1165,3.2,0.121,3.2,67.63,7.65316,-10.2695,3.84489,0.00021,0.74667
9683.45,SYN.BTC-26JUN20,1572951540127,open,2.15,0.0,2.0485,2.2185,2.12866661,90.27,None,0.0,BTC-26JUN20-30000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,14.98622,-2.8921,-187.02907,3e-05,-0.88564
9599.66,BTC-27MAR20,1572951540130,open,0.32,10.5,0.2925,0.358,0.32629952,72.87,0.281,0.0,BTC-27MAR20-7000-C,9279.66,66.75,0.3165,19.0,0.3315,18.6,76.02,15.68296,-3.99915,18.60416,6e-05,0.82139
9434.16,BTC-27DEC19,1572951540134,open,0.27,64.6,0.251,0.298,0.27456966,72.83,0.29,0.0,BTC-27DEC19-7000-C,9279.66,0.0,0.2555,1.0,0.296,9.0,98.68,6.70732,-4.70855,8.24586,7e-05,0.88955
9434.16,BTC-27DEC19,1572951540134,open,4.12,0.0,3.9885,4.1915,4.0878732,0.0,None,0.0,BTC-27DEC19-48000-P,9279.66,0.0,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,-68.22009,0.0,-1.0
9350.78,SYN.BTC-29NOV19,1572951540134,open,0.46,0.3,0.4545,0.4775,0.46572317,100.02,0.4955,0.0,BTC-29NOV19-5000-C,9279.66,0.0,0.457,9.0,0.476,9.0,170.85,0.34647,-0.72573,3.23731,1e-05,0.99499
9350.78,SYN.BTC-29NOV19,1572951540134,open,0.2,13.1,0.1625,0.2265,0.19405425,67.9,0.233,0.0,BTC-29NOV19-11000-P,9279.66,0.0,0.166,5.0,0.2215,5.0,101.28,6.6566,-9.4656,-6.092,0.00017,-0.80192
9683.45,SYN.BTC-26JUN20,1572951540136,open,0.05,15.3,0.022,0.092,0.05322478,84.35,0.052,0.0,BTC-26JUN20-22000-C,9279.66,82.61,0.0495,13.0,0.0565,14.8,85.84,21.03568,-3.79328,8.48768,4e-05,0.19002
9288.23,SYN.BTC-8NOV19,1572951540136,open,0.0,606.2,0.0005,0.013,0.00248648,77.66,0.003,0.0,BTC-8NOV19-10250-C,9279.66,73.83,0.002,20.5,0.0025,1.0,77.76,1.24309,-16.78428,0.05783,0.00024,0.08151
9683.45,SYN.BTC-26JUN20,1572951540142,open,0.76,0.0,0.6815,0.8215,0.7509487,79.97,None,0.0,BTC-26JUN20-16000-P,9279.66,0.0,0.08,1.0,0.88,0.5,121.74,27.76196,-4.7463,-88.71361,6e-05,-0.67883
9683.45,SYN.BTC-26JUN20,1572951540142,open,1.14,0.0,1.058,1.205,1.12927569,82.85,None,0.0,BTC-26JUN20-20000-P,9279.66,0.0,0.1,1.0,1.88,0.1,376.86,23.13062,-4.09709,-118.27798,5e-05,-0.77698
9434.16,BTC-27DEC19,1572951540145,open,0.0,946.3,0.0005,0.0105,0.00019811,100.0,0.001,0.0,BTC-27DEC19-30000-C,9279.66,108.59,0.0005,12.4,0.001,10.0,116.41,0.22422,-0.21612,0.02399,0.0,0.00199
9599.66,BTC-27MAR20,1572951540151,open,1.95,0.0,1.863,2.0045,1.92959446,93.54,None,0.0,BTC-27MAR20-28000-P,9279.66,0.0,0.0005,5.0,0.0,0.0,0.0,7.35845,-2.40869,-107.74804,2e-05,-0.9378
9309.08,SYN.BTC-15NOV19,1572951540151,open,0.25,0.0,0.2115,0.267,0.23781757,75.24,None,0.0,BTC-15NOV19-11500-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,1.5763,-6.00435,-2.99209,9e-05,-0.95012
9309.08,SYN.BTC-15NOV19,1572951540151,open,0.0,67.6,0.0005,0.012,0.00246484,75.24,0.004,0.0,BTC-15NOV19-11500-C,9279.66,68.72,0.0015,70.4,0.003,1.0,78.23,1.57658,-6.00576,0.11946,9e-05,0.04989
9288.23,SYN.BTC-8NOV19,1572951540196,open,0.27,0.5,0.2585,0.2875,0.27327662,100.29,0.2365,0.0,BTC-8NOV19-6750-C,9279.66,0.0,0.264,6.0,0.286,6.0,300.23,0.00452,-0.07882,0.5317,0.0,0.99986
9288.23,SYN.BTC-8NOV19,1572951540217,open,0.0,218.7,0.0005,0.011,0.00104748,99.94,0.001,0.0,BTC-8NOV19-11000-C,9279.66,99.17,0.001,10.9,0.002,24.1,112.33,0.58051,-9.72921,0.02211,9e-05,0.03127
9599.66,BTC-27MAR20,1572951540269,open,0.54,58.9,0.473,0.587,0.52963964,77.21,0.6005,0.0,BTC-27MAR20-14000-P,9279.66,0.0,0.4,0.5,0.7,1.0,147.81,20.71398,-5.59661,-46.40436,7e-05,-0.70528
9350.78,SYN.BTC-29NOV19,1572951540291,open,0.51,0.0,0.4685,0.5365,0.50067123,85.86,None,0.0,BTC-29NOV19-14000-P,9279.66,0.0,0.474,3.0,0.5215,3.0,133.86,2.14375,-3.85479,-8.92217,4e-05,-0.95801
9350.78,SYN.BTC-29NOV19,1572951540291,open,0.16,361.8,0.1355,0.183,0.15974047,66.52,0.17,0.0,BTC-29NOV19-8000-C,9279.66,63.65,0.158,0.9,0.1835,7.0,99.95,5.77485,-8.04501,4.17217,0.00015,0.84185
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.27,0.0,0.2605,0.292,0.27565284,91.55,None,0.0,BTC-15NOV19-6750-C,9279.66,0.0,0.265,6.0,0.2895,6.0,169.63,0.53142,-2.46311,1.79029,2e-05,0.98645
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.0,8.1,0.0005,0.0105,0.00075118,91.54,0.001,0.0,BTC-15NOV19-6750-P,9279.66,86.53,0.0005,19.0,0.001,0.4,95.5,0.53121,-2.46193,-0.03602,2e-05,-0.01355
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.35,0.0,0.3425,0.369,0.35562193,100.03,None,0.0,BTC-15NOV19-6000-C,9279.66,0.0,0.3465,7.0,0.3675,7.0,204.52,0.13855,-0.70165,1.61555,1e-05,0.99704
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.0,23.1,0.0005,0.011,0.00129372,89.65,0.001,0.0,BTC-15NOV19-7000-P,9279.66,86.03,0.001,1.7,0.0015,23.0,91.9,0.81543,-3.70134,-0.05963,4e-05,-0.02238
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.0,0.1,0.0005,0.0105,0.00015379,100.0,0.0015,0.0,BTC-15NOV19-6000-P,9279.66,0.0,0.0,0.0,0.001,1.0,125.71,0.13828,-0.70012,-0.00784,1e-05,-0.00296
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.0,0.1,0.0005,0.0105,6.316e-05,100.0,0.001,0.0,BTC-15NOV19-5750-P,9279.66,0.0,0.0,0.0,0.001,1.0,136.5,0.06561,-0.33215,-0.00344,0.0,-0.0013
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.0,4.8,0.0005,0.0105,0.0004963,95.44,0.001,0.0,BTC-15NOV19-6500-P,9279.66,0.0,0.0,0.0,0.001,21.3,105.25,0.37145,-1.79491,-0.02387,2e-05,-0.00898
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.33,0.0,0.315,0.3435,0.32895466,100.01,None,0.0,BTC-15NOV19-6250-C,9279.66,0.0,0.3195,7.0,0.341,7.0,190.81,0.26573,-1.34556,1.67472,1e-05,0.99386
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.3,0.0,0.288,0.3175,0.30225346,95.45,None,0.0,BTC-15NOV19-6500-C,9279.66,0.0,0.292,7.0,0.3155,7.0,181.27,0.37168,-1.79619,1.7348,2e-05,0.99101
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.25,0.0,0.233,0.267,0.24933988,89.66,None,0.0,BTC-15NOV19-7000-C,9279.66,0.0,0.2375,6.0,0.2635,6.0,157.94,0.81562,-3.70239,1.83432,4e-05,0.97761
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.38,0.0,0.37,0.395,0.3823868,100.05,None,0.0,BTC-15NOV19-5750-C,9279.66,0.0,0.374,7.0,0.3935,7.0,216.14,0.06591,-0.33389,1.55231,0.0,0.99869
9309.08,SYN.BTC-15NOV19,1572951540357,open,0.0,0.1,0.0005,0.0105,0.00034201,100.0,0.002,0.0,BTC-15NOV19-6250-P,9279.66,0.0,0.0,0.0,0.001,1.4,115.31,0.2655,-1.34421,-0.01631,1e-05,-0.00613
9288.23,SYN.BTC-8NOV19,1572951540400,open,0.0,466.3,0.0005,0.0115,0.00190521,86.46,0.002,0.0,BTC-8NOV19-10500-C,9279.66,76.3,0.001,45.6,0.002,1.0,87.35,0.97496,-14.65698,0.04211,0.00017,0.05944
9434.16,BTC-27DEC19,1572951540448,open,2.2,0.2,2.118,2.246,2.18011797,99.42,2.03,0.0,BTC-27DEC19-30000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,0.21219,-0.20332,-42.61495,0.0,-0.99813
9599.66,BTC-27MAR20,1572951540482,open,0.4,19.3,0.3775,0.429,0.40321592,73.22,0.406,0.0,BTC-27MAR20-6000-C,9279.66,70.33,0.4,19.0,0.4165,19.0,84.18,10.90223,-2.79357,18.48917,4e-05,0.89525
9599.66,BTC-27MAR20,1572951540484,open,0.01,113.7,0.0035,0.035,0.01461726,90.91,0.0135,0.0,BTC-27MAR20-26000-C,9279.66,88.94,0.013,36.0,0.016,21.0,92.49,8.16409,-2.59729,2.12358,2e-05,0.07113
9683.43,SYN.BTC-26JUN20,1572951540484,open,0.04,31.9,0.0145,0.0765,0.04075021,88.23,0.039,0.0,BTC-26JUN20-26000-C,9279.66,87.28,0.039,0.3,0.042,15.0,88.9,17.90737,-3.37793,6.65135,3e-05,0.14795
9599.66,BTC-27MAR20,1572951540486,open,1.33,6.0,1.2545,1.3795,1.31344254,86.49,1.5845,0.0,BTC-27MAR20-22000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,10.80564,-3.27059,-83.04395,3e-05,-0.89653
9288.22,SYN.BTC-8NOV19,1572951540486,open,0.19,25.0,0.1765,0.21,0.19273602,99.95,0.21,0.0,BTC-8NOV19-7500-C,9279.66,0.0,0.1815,5.0,0.2075,5.0,235.77,0.16167,-2.80954,0.58558,2e-05,0.99295
9350.77,SYN.BTC-29NOV19,1572951540489,open,0.08,368.2,0.058,0.111,0.08348828,62.96,0.0955,0.0,BTC-29NOV19-9000-C,9279.66,61.43,0.082,16.6,0.0865,16.6,66.06,9.07063,-11.96006,3.31061,0.00025,0.62474
9434.16,BTC-27DEC19,1572951540512,open,1.77,0.0,1.702,1.815,1.75660793,99.82,None,0.0,BTC-27DEC19-26000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,0.61461,-0.59134,-36.87954,0.0,-0.99389
9434.16,BTC-27DEC19,1572951540512,open,2.84,1.3,2.7415,2.894,2.81593823,96.06,2.2,0.0,BTC-27DEC19-36000-P,9279.66,0.0,0.0005,0.1,0.0,0.0,0.0,0.02924,-0.02707,-51.16239,0.0,-0.99978
9350.77,SYN.BTC-29NOV19,1572951540519,open,0.25,0.0,0.211,0.275,0.24208583,70.14,None,0.0,BTC-29NOV19-11500-P,9279.66,0.0,0.2155,4.0,0.2675,4.0,105.18,5.4193,-7.96016,-6.71805,0.00014,-0.85624
9683.43,SYN.BTC-26JUN20,1572951540521,open,0.58,0.0,0.505,0.6405,0.57359087,78.82,None,0.0,BTC-26JUN20-14000-P,9279.66,0.0,0.07,1.0,0.645,0.1,101.49,29.82567,-5.0257,-73.18868,6e-05,-0.60598
9599.66,BTC-27MAR20,1572951540534,open,0.03,443.0,0.009,0.0545,0.02772596,84.29,0.0255,0.0,BTC-27MAR20-20000-C,9279.66,82.96,0.026,19.0,0.0295,32.6,85.61,12.67971,-3.74014,3.82883,4e-05,0.12962
9434.16,BTC-27DEC19,1572951540534,open,0.01,494.1,0.0005,0.0205,0.00772676,83.27,0.008,0.0,BTC-27DEC19-16000-C,9279.66,81.68,0.007,67.0,0.0085,0.4,84.88,4.4308,-3.55627,0.74839,4e-05,0.06354
9350.77,SYN.BTC-29NOV19,1572951540534,open,0.01,363.2,0.0005,0.022,0.00903443,73.31,0.01,0.0,BTC-29NOV19-12000-C,9279.66,72.17,0.0085,2.5,0.0095,16.0,74.28,4.44129,-6.81855,0.60601,0.00011,0.10811
9683.43,SYN.BTC-26JUN20,1572951540534,open,0.2,120.9,0.141,0.2415,0.19220316,74.39,0.19,0.0,BTC-26JUN20-9000-P,9279.66,70.74,0.1815,12.9,0.1925,3.0,74.49,28.30488,-4.50163,-32.83579,6e-05,-0.337
9350.77,SYN.BTC-29NOV19,1572951540534,open,0.01,328.3,0.0005,0.0205,0.00859141,70.45,0.009,0.0,BTC-29NOV19-7500-P,9279.66,67.84,0.0075,33.0,0.0095,21.0,72.52,4.02317,-5.93555,-0.62993,0.0001,-0.0944
9288.22,SYN.BTC-8NOV19,1572951540534,open,0.24,1.3,0.231,0.2615,0.24637277,100.1,0.24,0.0,BTC-8NOV19-7000-C,9279.66,0.0,0.2365,5.0,0.2595,5.0,276.76,0.01798,-0.31284,0.55104,0.0,0.99938
9434.16,BTC-27DEC19,1572951540570,open,0.41,99.0,0.361,0.441,0.39971203,75.64,0.638,0.0,BTC-27DEC19-13000-P,9279.66,0.0,0.0,0.0,0.0,0.0,0.0,8.76319,-6.38889,-16.58068,9e-05,-0.83688
