underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,estimated_delivery_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,vega,theta,rho,gamma,delta
156.79,SYN.ETH-15APR20,1586861940031,open,0.0,3.0,0.0005,0.0155,0.000361,107.0,0.0005,0.0,ETH-15APR20-175-C,156.81,156.81,0.0,0.0,0.0,0.002,300.0,145.43,0.0036,-0.05654,7e-05,0.0057,0.01923
156.79,SYN.ETH-15APR20,1586861940031,open,0.12,0.0,0.084,0.1515,0.116561,107.0,None,0.0,ETH-15APR20-175-P,156.81,156.81,0.0,0.0005,55.0,0.0,0.0,0.0,0.0036,-0.19238,-0.00413,0.0057,-0.98077
6849.62,SYN.BTC-15APR20,1586861940137,open,0.1,0.1,0.0635,0.13,0.09529709,90.59,0.089,0.0,BTC-15APR20-7500-P,6849.9,6849.9,0.0,0.001,6.9,0.0,0.0,0.0,0.17327,-7.84859,-0.17645,0.00017,-0.97842
6849.62,SYN.BTC-15APR20,1586861940137,open,0.12,0.0,0.097,0.1515,0.12444126,129.6,None,0.0,BTC-15APR20-6000-C,6849.9,6849.9,0.0,0.02,0.3,0.0,0.0,0.0,0.1421,-9.20849,0.14108,0.0001,0.98291
6849.62,SYN.BTC-15APR20,1586861940137,open,0.05,0.1,0.023,0.0825,0.05368766,91.88,0.0435,0.0,BTC-15APR20-6500-C,6849.9,6849.9,0.0,0.0255,4.0,0.0595,4.0,139.36,0.66202,-30.41471,0.13617,0.00064,0.8823
6849.62,SYN.BTC-15APR20,1586861940137,open,0.07,0.1,0.041,0.0995,0.07096901,102.76,0.0555,0.0,BTC-15APR20-6375-C,6849.9,6849.9,0.0,0.0435,4.0,0.0745,0.1,141.61,0.46656,-23.97217,0.14063,0.0004,0.92672
6849.62,SYN.BTC-15APR20,1586861940137,open,0.11,0.0,0.0785,0.135,0.10671629,129.18,None,0.0,BTC-15APR20-6125-C,6849.9,6849.9,0.0,0.081,4.0,0.129,4.0,337.59,0.26547,-17.14677,0.14088,0.00018,0.96397
6849.62,SYN.BTC-15APR20,1586861940137,open,0.08,0.0,0.0455,0.112,0.07761809,90.59,None,0.0,BTC-15APR20-7375-P,6849.9,6849.9,0.0,0.049,3.0,0.1095,3.0,315.71,0.3469,-15.71319,-0.16885,0.00034,-0.94984
6849.62,SYN.BTC-15APR20,1586861940137,open,0.02,9.2,0.0005,0.041,0.0138975,61.06,0.012,0.0,BTC-15APR20-6875-P,6849.9,6849.9,48.69,0.0115,5.1,0.0145,1.2,64.16,1.33057,-40.62236,-0.09156,0.00194,-0.54329
6833.31,SYN.BTC-29MAY20,1586861940137,open,0.35,0.0,0.2945,0.4075,0.34885072,84.16,None,0.0,BTC-29MAY20-9000-P,6849.9,6849.9,0.0,0.0105,0.6,0.0,0.0,0.0,7.01995,-6.58269,-9.5174,0.00015,-0.78399
6848.87,SYN.BTC-17APR20,1586861940137,open,0.0,441.0,0.0005,0.0185,0.00375866,110.5,0.0035,0.0,BTC-17APR20-6000-P,6849.9,6849.9,108.53,0.0035,25.0,0.004,1.6,112.29,0.91258,-17.53347,-0.04575,0.00022,-0.08103
6822.93,BTC-26JUN20,1586861940137,open,0.02,324.8,0.0015,0.0425,0.01600814,94.76,0.0165,0.0,BTC-26JUN20-13000-C,6849.9,6849.9,94.08,0.0155,20.0,0.0165,32.0,95.41,5.15172,-3.34949,1.07568,6e-05,0.09497
