cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI
0.103771,0.100593,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.103771,0.100593,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.103771,0.100593,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.103771,0.100593,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.103771,0.100593,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.103771,0.100593,0.003178,3.000000,-0.100000,0.372714,0.372714,1.000000
0.085839,0.082503,0.003336,3.000322,-0.059085,0.420742,0.591370,0.987098
0.085839,0.082503,0.003336,3.000322,-0.059085,0.420742,0.591370,0.987098
0.085839,0.082503,0.003336,3.000322,-0.059085,0.420742,0.591370,0.987098
0.085839,0.082503,0.003336,3.000322,-0.059085,0.420742,0.591370,0.987098
0.085839,0.082503,0.003336,3.000322,-0.059085,0.420742,0.591370,0.987098
0.085839,0.082503,0.003336,3.000322,-0.059085,0.420742,0.591370,0.987098
0.040830,0.037150,0.003680,2.999782,0.015169,0.201945,0.951560,0.965426
0.040830,0.037150,0.003680,2.999782,0.015169,0.201945,0.951560,0.965426
0.040830,0.037150,0.003680,2.999782,0.015169,0.201945,0.951560,0.965426
0.040830,0.037150,0.003680,2.999782,0.015169,0.201945,0.951560,0.965426
0.040830,0.037150,0.003680,2.999782,0.015169,0.201945,0.951560,0.965426
0.040830,0.037150,0.003680,2.999782,0.015169,0.201945,0.951560,0.965426
0.041022,0.037625,0.003397,2.996418,-0.021722,0.310292,0.739799,0.976332
0.027625,0.024103,0.003522,2.998107,-0.003202,0.255899,0.846108,0.970857
0.027625,0.024103,0.003522,2.998107,-0.003202,0.255899,0.846108,0.970857
0.027625,0.024103,0.003522,2.998107,-0.003202,0.255899,0.846108,0.970857
0.027625,0.024103,0.003522,2.998107,-0.003202,0.255899,0.846108,0.970857
0.027625,0.024103,0.003522,2.998107,-0.003202,0.255899,0.846108,0.970857
0.027625,0.024103,0.003522,2.998107,-0.003202,0.255899,0.846108,0.970857
0.028610,0.025159,0.003451,2.994086,0.000254,0.251058,0.806704,0.971768
0.027339,0.023840,0.003499,2.996816,-0.002093,0.254346,0.833463,0.971149
0.027339,0.023840,0.003499,2.996816,-0.002093,0.254346,0.833463,0.971149
0.027339,0.023840,0.003499,2.996816,-0.002093,0.254346,0.833463,0.971149
0.027339,0.023840,0.003499,2.996816,-0.002093,0.254346,0.833463,0.971149
0.027339,0.023840,0.003499,2.996816,-0.002093,0.254346,0.833463,0.971149
0.027339,0.023840,0.003499,2.996816,-0.002093,0.254346,0.833463,0.971149
