cost,rmse,penalty,LAMBDA,MU_Y,SIGMA_Y,SIGMA
0.435593,0.335593,0.100000,0.010000,0.000000,1.000000,0.610503
0.435593,0.335593,0.100000,0.010000,0.000000,1.000000,0.610503
0.435593,0.335593,0.100000,0.010000,0.000000,1.000000,0.610503
0.435593,0.335593,0.100000,0.010000,0.000000,1.000000,0.610503
0.435593,0.335593,0.100000,0.010000,0.000000,1.000000,0.610503
0.775899,0.710932,0.064967,0.398394,0.004060,0.805036,1.602500
0.172067,0.086582,0.085485,0.160525,0.001573,0.924440,0.994958
0.172067,0.086582,0.085485,0.160525,0.001573,0.924440,0.994958
0.172067,0.086582,0.085485,0.160525,0.001573,0.924440,0.994958
0.172067,0.086582,0.085485,0.160525,0.001573,0.924440,0.994958
0.172067,0.086582,0.085485,0.160525,0.001573,0.924440,0.994959
0.170012,0.116727,0.053285,0.162370,-0.011363,0.729775,0.802482
0.093821,0.025529,0.068292,0.161456,-0.004953,0.826230,0.897853
0.093821,0.025529,0.068292,0.161456,-0.004953,0.826230,0.897853
0.093821,0.025529,0.068292,0.161456,-0.004953,0.826230,0.897853
0.093821,0.025529,0.068292,0.161456,-0.004953,0.826230,0.897853
0.093821,0.025529,0.068292,0.161456,-0.004953,0.826230,0.897853
0.067811,0.025789,0.042022,0.161941,0.004688,0.648039,0.940890
0.067811,0.025789,0.042022,0.161941,0.004688,0.648039,0.940890
0.067811,0.025789,0.042022,0.161941,0.004688,0.648039,0.940890
0.067811,0.025789,0.042022,0.161941,0.004688,0.648039,0.940890
0.067811,0.025789,0.042022,0.161941,0.004688,0.648039,0.940890
0.028231,0.022600,0.005631,0.228242,0.031316,0.235983,0.941634
0.028231,0.022600,0.005631,0.228243,0.031316,0.235983,0.941634
0.028231,0.022600,0.005631,0.228242,0.031316,0.235983,0.941634
0.028231,0.022600,0.005631,0.228242,0.031316,0.235983,0.941634
0.028231,0.022600,0.005631,0.228242,0.031316,0.235983,0.941634
0.024221,0.024122,0.000099,0.239819,0.046073,0.014396,0.955742
0.024221,0.024122,0.000099,0.239819,0.046073,0.014396,0.955742
0.024221,0.024122,0.000099,0.239819,0.046073,0.014396,0.955742
0.024221,0.024122,0.000099,0.239819,0.046073,0.014397,0.955742
0.024221,0.024122,0.000099,0.239819,0.046073,0.014396,0.955742
0.023536,0.023429,0.000108,0.274378,0.049481,0.009033,0.944949
0.023536,0.023429,0.000108,0.274378,0.049481,0.009033,0.944949
0.023536,0.023429,0.000108,0.274378,0.049481,0.009033,0.944949
0.023536,0.023429,0.000108,0.274378,0.049481,0.009033,0.944949
0.023536,0.023429,0.000108,0.274378,0.049481,0.009033,0.944949
0.023209,0.023116,0.000093,0.264117,0.048591,0.000010,0.948944
0.023209,0.023116,0.000093,0.264117,0.048591,0.000010,0.948944
0.023209,0.023116,0.000093,0.264117,0.048591,0.000010,0.948944
0.023209,0.023116,0.000093,0.264117,0.048591,0.000010,0.948944
0.023209,0.023116,0.000093,0.264117,0.048591,0.000010,0.948944
0.023208,0.023116,0.000093,0.263988,0.047924,0.000993,0.948862
