cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y,MU_V
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.125768,0.123216,0.002552,2.664539,0.001706,0.170217,0.869002,0.092337,1.292035,-0.184140,0.000010,0.010000
0.337377,0.332905,0.004471,2.676646,0.002325,0.894227,0.925985,0.091871,1.310181,-0.370530,0.000011,0.038123
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020222
0.097795,0.094748,0.003047,2.668940,0.001931,0.433386,0.889715,0.092167,1.298631,-0.251891,0.000010,0.020223
0.040369,0.037942,0.002427,2.660662,0.000738,0.374697,0.814245,0.092459,1.285161,-0.141296,0.000010,0.000010
