cost,rmse,penalty,NU,SIGMA,THETA
0.087730,0.087730,0.000000,0.010000,0.610503,-0.600000
0.087730,0.087730,0.000000,0.010000,0.610503,-0.600000
0.087730,0.087730,0.000000,0.010000,0.610503,-0.600000
0.087730,0.087730,0.000000,0.010000,0.610503,-0.600000
0.089886,0.089886,0.000000,0.478161,0.930909,-0.601005
0.050194,0.050194,0.000000,0.242523,0.769640,-0.600499
0.050194,0.050194,0.000000,0.242523,0.769640,-0.600499
0.050194,0.050194,0.000000,0.242523,0.769640,-0.600499
0.050194,0.050194,0.000000,0.242523,0.769640,-0.600499
0.120113,0.120113,0.000000,0.173696,0.890701,-0.578274
0.049371,0.049371,0.000000,0.234591,0.783592,-0.597938
0.049371,0.049371,0.000000,0.234591,0.783592,-0.597938
0.049371,0.049371,0.000000,0.234591,0.783592,-0.597938
0.049371,0.049371,0.000000,0.234591,0.783592,-0.597938
0.045570,0.045570,0.000000,0.198223,0.764875,-0.574730
0.045570,0.045570,0.000000,0.198223,0.764875,-0.574730
0.045570,0.045570,0.000000,0.198223,0.764875,-0.574730
0.045570,0.045570,0.000000,0.198223,0.764875,-0.574730
0.055396,0.055396,0.000000,0.061434,0.703300,-0.484084
0.043112,0.043112,0.000000,0.160760,0.748011,-0.549904
0.043112,0.043112,0.000000,0.160760,0.748011,-0.549904
0.043112,0.043112,0.000000,0.160760,0.748011,-0.549904
0.043112,0.043112,0.000000,0.160760,0.748011,-0.549904
0.042568,0.042568,0.000000,0.132445,0.730236,-0.515791
0.042568,0.042568,0.000000,0.132445,0.730236,-0.515791
0.042568,0.042568,0.000000,0.132445,0.730236,-0.515791
0.042568,0.042568,0.000000,0.132445,0.730236,-0.515791
0.042340,0.042340,0.000000,0.143130,0.734662,-0.510604
0.042340,0.042340,0.000000,0.143130,0.734662,-0.510604
0.042340,0.042340,0.000000,0.143130,0.734662,-0.510604
0.042340,0.042340,0.000000,0.143130,0.734662,-0.510604
0.042144,0.042144,0.000000,0.147491,0.738145,-0.489731
0.042144,0.042144,0.000000,0.147491,0.738145,-0.489731
0.042144,0.042144,0.000000,0.147491,0.738145,-0.489731
0.042144,0.042144,0.000000,0.147491,0.738145,-0.489731
0.041950,0.041950,0.000000,0.150378,0.738880,-0.440174
0.041950,0.041950,0.000000,0.150378,0.738880,-0.440174
0.041950,0.041950,0.000000,0.150378,0.738880,-0.440174
0.041950,0.041950,0.000000,0.150378,0.738880,-0.440174
0.041917,0.041917,0.000000,0.147078,0.736883,-0.430702
0.041917,0.041917,0.000000,0.147078,0.736883,-0.430702
0.041917,0.041917,0.000000,0.147078,0.736883,-0.430702
0.041917,0.041917,0.000000,0.147078,0.736883,-0.430702
0.041912,0.041912,0.000000,0.145029,0.735749,-0.427048
0.041912,0.041912,0.000000,0.145029,0.735749,-0.427048
0.041912,0.041912,0.000000,0.145029,0.735749,-0.427048
0.041912,0.041912,0.000000,0.145029,0.735749,-0.427048
