cost,rmse,penalty,C,G,M,Y
0.130002,0.130002,0.000000,10.000000,10.000000,10.000000,0.700000
0.130002,0.130002,0.000000,10.000000,10.000000,10.000000,0.700000
0.130002,0.130002,0.000000,10.000000,10.000000,10.000000,0.700000
0.130002,0.130002,0.000000,10.000000,10.000000,10.000000,0.700000
0.130002,0.130002,0.000000,10.000000,10.000000,10.000000,0.700000
0.455582,0.455582,0.000000,9.967062,10.018671,10.025698,-0.099269
0.195908,0.195908,0.000000,9.989079,10.006191,10.008521,0.434988
0.100270,0.100270,0.000000,9.995832,10.002363,10.003252,0.598860
0.100270,0.100270,0.000000,9.995832,10.002363,10.003252,0.598860
0.100270,0.100270,0.000000,9.995832,10.002363,10.003252,0.598860
0.100270,0.100270,0.000000,9.995832,10.002363,10.003252,0.598860
0.100270,0.100270,0.000000,9.995832,10.002363,10.003252,0.598860
0.096997,0.096997,0.000000,9.995490,10.004626,10.005587,0.623507
0.096997,0.096997,0.000000,9.995490,10.004626,10.005587,0.623507
0.096997,0.096997,0.000000,9.995490,10.004626,10.005587,0.623507
0.096997,0.096997,0.000000,9.995490,10.004626,10.005587,0.623507
0.096997,0.096997,0.000000,9.995490,10.004626,10.005587,0.623507
0.096964,0.096964,0.000000,9.993639,10.008150,10.009862,0.623948
0.096964,0.096964,0.000000,9.993639,10.008150,10.009862,0.623948
0.096964,0.096964,0.000000,9.993639,10.008150,10.009862,0.623948
0.096964,0.096964,0.000000,9.993639,10.008150,10.009862,0.623948
0.096964,0.096964,0.000000,9.993639,10.008150,10.009862,0.623948
0.096789,0.096789,0.000000,9.984067,10.026313,10.031897,0.625361
0.096789,0.096789,0.000000,9.984067,10.026313,10.031897,0.625361
0.096789,0.096789,0.000000,9.984067,10.026313,10.031897,0.625361
0.096789,0.096789,0.000000,9.984067,10.026313,10.031897,0.625361
0.096789,0.096789,0.000000,9.984067,10.026313,10.031897,0.625361
0.095936,0.095936,0.000000,9.936412,10.116752,10.141534,0.632652
0.095936,0.095936,0.000000,9.936412,10.116752,10.141534,0.632652
0.095936,0.095936,0.000000,9.936412,10.116752,10.141534,0.632652
0.095936,0.095936,0.000000,9.936412,10.116752,10.141534,0.632652
0.095936,0.095936,0.000000,9.936412,10.116752,10.141534,0.632652
0.092100,0.092100,0.000000,9.704148,10.557443,10.675428,0.667686
0.092100,0.092100,0.000000,9.704148,10.557443,10.675428,0.667686
0.092100,0.092100,0.000000,9.704148,10.557443,10.675428,0.667686
0.092100,0.092100,0.000000,9.704148,10.557443,10.675428,0.667686
0.092100,0.092100,0.000000,9.704148,10.557443,10.675428,0.667686
0.085119,0.085119,0.000000,8.645007,12.565972,13.107232,0.817573
0.085119,0.085119,0.000000,8.645007,12.565972,13.107232,0.817573
0.085119,0.085119,0.000000,8.645007,12.565972,13.107232,0.817573
0.085119,0.085119,0.000000,8.645007,12.565972,13.107232,0.817573
0.085119,0.085119,0.000000,8.645007,12.565972,13.107232,0.817573
0.078627,0.078627,0.000000,8.562982,12.717991,13.289622,0.802174
0.078627,0.078627,0.000000,8.562982,12.717991,13.289622,0.802174
0.078627,0.078627,0.000000,8.562982,12.717991,13.289622,0.802174
0.078627,0.078627,0.000000,8.562982,12.717991,13.289622,0.802174
0.078627,0.078627,0.000000,8.562982,12.717991,13.289622,0.802174
0.073222,0.073222,0.000000,7.841388,14.082011,14.938438,0.873657
0.073222,0.073222,0.000000,7.841388,14.082011,14.938438,0.873657
0.073222,0.073222,0.000000,7.841388,14.082011,14.938438,0.873657
0.073222,0.073222,0.000000,7.841388,14.082011,14.938438,0.873657
0.073222,0.073222,0.000000,7.841388,14.082011,14.938438,0.873657
0.072501,0.072501,0.000000,6.215522,17.152894,18.649070,1.027546
0.069721,0.069721,0.000000,6.966499,15.734473,16.935153,0.956466
0.069721,0.069721,0.000000,6.966499,15.734473,16.935153,0.956466
0.069721,0.069721,0.000000,6.966499,15.734473,16.935153,0.956466
0.069721,0.069721,0.000000,6.966499,15.734473,16.935153,0.956466
0.069721,0.069721,0.000000,6.966499,15.734473,16.935153,0.956466
0.065761,0.065761,0.000000,6.171480,17.229963,18.739985,1.015692
0.065761,0.065761,0.000000,6.171480,17.229963,18.739985,1.015692
0.065761,0.065761,0.000000,6.171480,17.229963,18.739985,1.015692
0.065761,0.065761,0.000000,6.171480,17.229963,18.739985,1.015692
0.065761,0.065761,0.000000,6.171480,17.229963,18.739985,1.015692
0.062085,0.062085,0.000000,5.084016,19.270128,21.201238,1.093175
0.062085,0.062085,0.000000,5.084016,19.270128,21.201238,1.093175
0.062085,0.062085,0.000000,5.084016,19.270128,21.201238,1.093175
0.062085,0.062085,0.000000,5.084016,19.270128,21.201238,1.093175
0.062085,0.062085,0.000000,5.084016,19.270128,21.201238,1.093175
0.089978,0.089978,0.000000,1.878165,25.295116,28.472540,1.341416
0.061268,0.061268,0.000000,4.732123,19.931466,21.999378,1.120423
0.061268,0.061268,0.000000,4.732123,19.931466,21.999378,1.120423
0.061268,0.061268,0.000000,4.732123,19.931466,21.999378,1.120423
0.061268,0.061268,0.000000,4.732123,19.931466,21.999378,1.120423
0.061268,0.061268,0.000000,4.732123,19.931466,21.999378,1.120423
0.159744,0.159744,0.000000,1.282114,26.407806,29.814462,1.381642
0.060536,0.060536,0.000000,4.387122,20.579100,22.780887,1.146545
0.060536,0.060536,0.000000,4.387122,20.579100,22.780887,1.146545
0.060536,0.060536,0.000000,4.387122,20.579100,22.780887,1.146545
0.060536,0.060536,0.000000,4.387122,20.579100,22.780887,1.146545
0.060536,0.060536,0.000000,4.387122,20.579100,22.780887,1.146545
0.332005,0.332005,0.000000,0.528529,27.829260,31.530742,1.445706
0.059805,0.059805,0.000000,4.001263,21.304116,23.655872,1.176461
0.059805,0.059805,0.000000,4.001263,21.304116,23.655872,1.176461
0.059805,0.059805,0.000000,4.001263,21.304116,23.655872,1.176461
0.059805,0.059805,0.000000,4.001263,21.304116,23.655872,1.176461
0.059805,0.059805,0.000000,4.001263,21.304116,23.655872,1.176461
0.209003,0.209003,0.000000,0.917378,27.106657,30.659303,1.421109
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.059290,0.059290,0.000000,3.692875,21.884370,24.356215,1.200926
0.085057,0.085057,0.000000,1.778944,25.494904,28.714353,1.357651
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.058995,0.058995,0.000000,3.501482,22.245423,24.792029,1.216598
0.065559,0.065559,0.000000,2.117551,24.864544,27.953596,1.333539
0.058729,0.058729,0.000000,3.325002,22.579415,25.195193,1.231511
