cost,rmse,penalty,KAPPA,RHO,V0,VBAR,XI,LAMBDA,MU_Y,SIGMA_Y
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.408405,0.400771,0.007634,2.053301,-0.032581,0.194215,1.060648,0.494731,1.000000,0.000000,0.100000
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.107616,0.094863,0.012753,2.081481,0.030320,0.909287,1.155651,0.490894,1.005647,0.020679,0.223434
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.087988,0.079425,0.008563,2.070641,0.012485,0.917200,1.056263,0.492858,0.995774,-0.001542,0.104046
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.061049,0.053833,0.007216,2.047994,-0.026363,1.050180,0.832566,0.498079,0.981304,-0.027553,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
0.036336,0.029470,0.006866,2.018391,-0.106722,1.155069,0.367843,0.512762,0.957667,-0.053196,0.000010
